Unnamed: 0,beds,baths,size,price,beds_baths_total,sqft_per_room,zip_code_freq
0,3,2.5,2590.0,795000.0,5.5,398.46153846153845,113
1,4,2.0,2240.0,915000.0,6.0,320.0,78
2,4,3.0,2040.0,950000.0,7.0,255.0,83
3,4,3.0,3800.0,1950000.0,7.0,475.0,72
4,2,2.0,1042.0,950000.0,4.0,208.4,60
5,2,2.0,1190.0,740000.0,4.0,238.0,83
6,1,1.0,670.0,460000.0,2.0,223.33333333333334,61
7,5,3.5,4510.0,3150000.0,8.5,474.7368421052632,73
8,3,2.5,1520.0,565000.0,5.5,233.84615384615384,33
9,4,2.0,2340.0,699000.0,6.0,334.2857142857143,44
10,3,2.0,1320.0,899000.0,5.0,220.0,166
11,3,2.0,1800.0,1050000.0,5.0,300.0,27
12,3,2.5,2490.0,935625.0,5.5,383.0769230769231,166
13,4,3.0,2650.0,1511000.0,7.0,331.25,170
14,5,1.5,2560.0,1330000.0,6.5,341.3333333333333,72
15,2,1.5,900.0,549755.0,3.5,200.0,61
16,3,3.5,1360.0,700000.0,6.5,181.33333333333334,166
17,1,1.0,550.0,330000.0,2.0,183.33333333333334,109
18,3,2.5,2974.0,1750000.0,5.5,457.53846153846155,70
19,4,3.5,1989.0,980000.0,7.5,234.0,151
20,2,2.0,1332.0,845000.0,4.0,266.4,72
21,4,3.0,2668.0,1213000.0,7.0,333.5,88
22,2,1.0,770.0,530000.0,3.0,192.5,61
23,3,1.5,1280.0,625000.0,4.5,232.72727272727272,41
24,5,3.5,3200.0,1275000.0,8.5,336.8421052631579,61
25,2,1.5,889.0,680000.0,3.5,197.55555555555554,166
26,1,1.0,508.0,325000.0,2.0,169.33333333333334,61
27,3,2.0,3140.0,1219700.0,5.0,523.3333333333334,151
28,4,2.0,2000.0,907200.0,6.0,285.7142857142857,78
29,1,1.0,792.0,517000.0,2.0,264.0,23
30,3,2.5,1690.0,760000.0,5.5,260.0,33
31,4,5.5,3000.0,1484000.0,9.5,285.7142857142857,80
32,3,3.0,1550.0,950000.0,6.0,221.42857142857142,170
33,2,2.0,871.0,430000.0,4.0,174.2,70
34,4,1.5,1940.0,520000.0,5.5,298.46153846153845,100
35,1,1.0,474.0,335000.0,2.0,158.0,23
36,3,2.0,1770.0,805000.0,5.0,295.0,41
37,5,5.0,2510.0,1000000.0,10.0,228.1818181818182,61
38,1,1.0,750.0,375000.0,2.0,250.0,72
39,1,1.0,573.0,390000.0,2.0,191.0,60
40,3,2.5,1500.0,1070000.0,5.5,230.76923076923077,166
41,5,4.0,2920.0,948000.0,9.0,292.0,61
42,3,2.0,2817.0,912000.0,5.0,469.5,166
43,1,1.0,617.0,480000.0,2.0,205.66666666666666,61
44,2,2.0,1280.0,776000.0,4.0,256.0,57
45,2,2.0,1523.0,1395000.0,4.0,304.6,59
46,2,1.0,1240.0,750000.0,3.0,310.0,80
47,4,2.5,2280.0,1065000.0,6.5,304.0,78
48,5,3.5,3590.0,2350000.0,8.5,377.89473684210526,60
49,4,3.5,2478.0,1580000.0,7.5,291.52941176470586,170
50,3,3.0,2360.0,1775000.0,6.0,337.14285714285717,151
51,2,1.0,720.0,600000.0,3.0,180.0,27
52,3,2.0,2480.0,800000.0,5.0,413.3333333333333,80
53,3,2.0,1550.0,1100000.0,5.0,258.3333333333333,72
54,2,1.0,780.0,750000.0,3.0,195.0,166
55,5,3.0,2820.0,865000.0,8.0,313.3333333333333,60
56,5,3.0,2900.0,1450000.0,8.0,322.22222222222223,57
57,2,2.0,1092.0,829000.0,4.0,218.4,109
58,3,2.0,1731.0,575000.0,5.0,288.5,78
59,3,2.5,1500.0,860000.0,5.5,230.76923076923077,73
60,2,2.5,1344.0,770000.0,4.5,244.36363636363637,109
61,4,5.5,4040.0,5495000.0,9.5,384.76190476190476,73
62,5,3.0,2320.0,560000.0,8.0,257.77777777777777,44
63,5,3.0,2820.0,900000.0,8.0,313.3333333333333,60
64,3,1.0,1070.0,575000.0,4.0,214.0,151
65,2,1.0,1113.0,595000.0,3.0,278.25,60
66,4,2.0,2100.0,950000.0,6.0,300.0,151
67,3,2.5,2620.0,1300000.0,5.5,403.0769230769231,70
68,3,2.0,1270.0,727000.0,5.0,211.66666666666666,166
69,3,2.0,2702.0,1605000.0,5.0,450.3333333333333,166
70,4,3.5,2031.0,1480000.0,7.5,238.94117647058823,151
71,3,2.0,2350.0,888000.0,5.0,391.6666666666667,44
72,4,1.5,2640.0,1850000.0,5.5,406.15384615384613,170
73,3,1.5,1340.0,615000.0,4.5,243.63636363636363,78
74,6,3.5,8660.0,4100000.0,9.5,824.7619047619048,60
75,2,2.5,1365.0,525000.0,4.5,248.1818181818182,100
76,1,1.0,635.0,509950.0,2.0,211.66666666666666,14
77,3,1.0,1800.0,549000.0,4.0,360.0,44
78,2,1.0,870.0,555000.0,3.0,217.5,100
79,3,3.5,1510.0,660000.0,6.5,201.33333333333334,166
80,3,1.0,1120.0,615000.0,4.0,224.0,78
81,4,2.5,2580.0,1635000.0,6.5,344.0,41
82,2,2.0,875.0,420000.0,4.0,175.0,170
83,3,4.0,2220.0,1650000.0,7.0,277.5,61
84,1,1.0,607.0,427000.0,2.0,202.33333333333334,70
85,3,2.0,1496.0,910000.0,5.0,249.33333333333334,113
86,4,3.5,2670.0,1022700.0,7.5,314.11764705882354,100
87,2,1.5,1810.0,925000.0,3.5,402.22222222222223,170
88,1,1.0,582.0,360000.0,2.0,194.0,61
89,2,2.0,1006.0,928000.0,4.0,201.2,59
90,3,5.5,1530.0,635000.0,8.5,161.05263157894737,166
91,2,1.0,820.0,490000.0,3.0,205.0,100
92,3,2.0,1960.0,950000.0,5.0,326.6666666666667,73
93,4,3.0,2110.0,760000.0,7.0,263.75,61
94,4,3.5,3010.0,985000.0,7.5,354.11764705882354,78
95,3,1.0,2200.0,1250000.0,4.0,440.0,73
96,3,2.5,1820.0,690000.0,5.5,280.0,100
97,4,4.0,3040.0,1585000.0,8.0,337.77777777777777,70
98,3,2.0,1800.0,936000.0,5.0,300.0,100
99,1,1.0,800.0,450000.0,2.0,266.6666666666667,109
100,3,3.0,1450.0,750000.0,6.0,207.14285714285714,151
101,1,1.0,756.0,550000.0,2.0,252.0,59
102,1,1.0,742.0,354000.0,2.0,247.33333333333334,80
103,4,2.0,2400.0,1385000.0,6.0,342.85714285714283,70
104,2,2.0,1607.0,1865000.0,4.0,321.4,23
105,4,3.5,3057.0,1800000.0,7.5,359.6470588235294,151
106,1,1.0,649.0,346600.0,2.0,216.33333333333334,73
107,4,4.0,3142.0,1600000.0,8.0,349.1111111111111,70
108,3,1.0,1050.0,399950.0,4.0,210.0,78
109,3,2.0,1720.0,855000.0,5.0,286.6666666666667,72
110,3,3.5,2650.0,1095000.0,6.5,353.3333333333333,60
111,2,1.5,2680.0,1125000.0,3.5,595.5555555555555,60
112,4,2.5,2550.0,1560000.0,6.5,340.0,170
113,9,4.0,3800.0,1343000.0,13.0,271.42857142857144,88
114,2,2.0,1320.0,525000.0,4.0,264.0,78
115,4,2.0,1910.0,630000.0,6.0,272.85714285714283,44
116,2,1.0,773.0,360000.0,3.0,193.25,61
117,1,1.0,589.0,375000.0,2.0,196.33333333333334,59
118,1,1.0,510.0,302500.0,2.0,170.0,60
119,4,3.5,2661.0,1165000.0,7.5,313.05882352941177,33
120,2,2.0,843.0,346250.0,4.0,168.6,166
121,4,3.0,2250.0,1150000.0,7.0,281.25,170
122,4,1.5,2080.0,950000.0,5.5,320.0,88
123,3,3.5,1370.0,699500.0,6.5,182.66666666666666,151
124,1,1.0,699.0,335000.0,2.0,233.0,170
125,2,3.0,1840.0,800000.0,5.0,306.6666666666667,78
126,4,3.5,3040.0,1495000.0,7.5,357.6470588235294,27
127,2,1.0,858.0,500000.0,3.0,214.5,113
128,5,8.5,3110.0,1606500.0,13.5,214.48275862068965,170
129,2,2.0,1147.0,749950.0,4.0,229.4,170
130,2,1.0,868.0,415000.0,3.0,217.0,113
131,2,2.5,1538.0,895000.0,4.5,279.6363636363636,73
132,2,1.0,1480.0,720000.0,3.0,370.0,80
133,2,2.0,932.0,435000.0,4.0,186.4,166
134,2,2.0,981.0,450000.0,4.0,196.2,61
135,2,2.0,866.0,555000.0,4.0,173.2,83
136,4,3.5,2000.0,870000.0,7.5,235.2941176470588,170
137,3,3.5,1470.0,845000.0,6.5,196.0,151
138,2,2.0,1840.0,1200000.0,4.0,368.0,109
139,4,2.0,2230.0,925000.0,6.0,318.57142857142856,78
140,2,1.5,1290.0,795000.0,3.5,286.6666666666667,170
141,3,2.5,1670.0,600000.0,5.5,256.9230769230769,44
142,1,1.0,630.0,459000.0,2.0,210.0,41
143,3,2.0,1880.0,911000.0,5.0,313.3333333333333,113
144,2,2.0,1188.0,1350000.0,4.0,237.6,60
145,2,1.5,1300.0,570288.0,3.5,288.8888888888889,61
146,1,1.0,857.0,529000.0,2.0,285.6666666666667,59
147,2,2.0,1071.0,605000.0,4.0,214.2,70
148,5,4.0,2810.0,1295000.0,9.0,281.0,166
149,4,2.5,2400.0,1595000.0,6.5,320.0,61
150,3,3.5,1670.0,600000.0,6.5,222.66666666666666,44
151,3,2.5,2734.0,1605200.0,5.5,420.61538461538464,61
152,3,2.5,1670.0,865000.0,5.5,256.9230769230769,151
153,3,3.0,1530.0,745000.0,6.0,218.57142857142858,80
154,4,1.0,1720.0,543750.0,5.0,286.6666666666667,109
155,3,1.0,1200.0,1099950.0,4.0,240.0,73
156,5,3.0,2030.0,905000.0,8.0,225.55555555555554,113
157,3,2.0,2370.0,1200000.0,5.0,395.0,80
158,3,1.5,1720.0,825000.0,4.5,312.72727272727275,151
159,1,1.0,813.0,680000.0,2.0,271.0,59
160,3,2.0,1590.0,720000.0,5.0,265.0,78
161,1,1.0,626.0,389200.0,2.0,208.66666666666666,109
162,2,1.0,840.0,489000.0,3.0,210.0,33
